년도	월	약효분류코드	약효분류명	수량	사용금액
2018	5	229	기타의 호흡기관용약	48,704	8,862
2018	5	231	치과구강용약	879	959
2018	5	232	소화성궤양용제	360,060	93,823
2018	5	233	건위소화제	92	2
2018	5	234	제산제	88,113	3,516
2018	5	235	최토제,진토제	10,751	5,229
2018	5	236	이담제	13,422	2,717
2018	5	237	정장제	35,567	3,953
2018	5	238	하제,완장제	2,187	378
2018	5	239	기타의 소화기관용약	217,621	25,254
2018	5	241	뇌하수체호르몬제	2,378	5,609
2018	5	243	갑상선,부갑상선호르몬제	36,557	2,687
2018	5	244	단백동화스테로이드제	10	5
2018	5	245	부신호르몬제	52,792	5,032
2018	5	246	남성호르몬제	227	104
2018	5	247	난포호르몬 및 황체호르몬제	9,453	4,663
2018	5	249	기타의 호르몬제(항호르몬제를 포함)	715	14,532
2018	5	252	자궁수축제	206	92
2018	5	255	비뇨생식기관용제(성병예방제 포함)	4,025	1,452
2018	5	256	치질용제	34	96
2018	5	259	기타의 비뇨생식기관 및 항문용약	64,770	39,319
2018	5	261	외피용살균소독제	0	2
2018	5	262	창상보호제	0	0
2018	5	263	화농성질환용제	38	161
2018	5	264	진통·진양·수렴·소염제	2,944	8,762
2018	5	265	기생성 피부질환용제	708	3,406
2018	5	266	피부연화제(부식제를 포함)	54	194
2018	5	267	모발용제(발모,탈모,염모,양모제)	0	0
2018	5	269	기타의 외피용약	940	3,637
2018	5	311	비타민 A 및 D제	6,173	2,904
2018	5	312	비타민 B₁제	5,169	198
2018	5	313	비타민 B제(비타민 B₁을 제외)	11,303	327
2018	5	314	비타민 C 및 P제	229	57
2018	5	315	비타민 E 및 K제	81	19
2018	5	316	혼합비타민제(비타민 A D 혼합제를 제외)	2,240	518
2018	5	321	칼슘제	31,840	2,458
2018	5	322	무기질제제	13,136	1,830
2018	5	323	당류제	1,778	2,258
2018	5	325	단백아미노산제제	2,453	13,745
2018	5	326	장기제제	101	85
2018	5	329	기타의 자양강장변질제	43	603
2018	5	331	혈액대용제	11,713	11,831
2018	5	332	지혈제	1,285	3,392
2018	5	333	혈액응고저지제	10,680	13,556
2018	5	339	기타의 혈액 및 체액용약	55,621	40,562
2018	5	341	인공신장관류용제	21,660	11,876
2018	5	349	기타의 인공관류용제	879	9,669
2018	5	391	간장질환용제	49,777	22,721
2018	5	392	해독제	4,554	5,418
2018	5	394	통풍치료제	13,100	1,818
2018	5	395	효소제제	77,737	13,706
2018	5	396	당뇨병용제	214,419	83,112
2018	5	398	종합대사성제제	0	0
2018	5	399	따로 분류되지 않는 대사성 의약품	56,887	48,813
2018	5	421	항악성종양제	10,123	131,499
2018	5	429	기타의 종양치료제	251	883
2018	5	431	방사성 의약품	1,011	7,219
2018	5	439	기타의 조직세포의 치료 및 진단	66	24,122
2018	5	490	기타의 조직세포의 기능용의약품	1,088	973
2018	5	611	주로 그람양성균에 작용하는 것	713	3,720
2018	5	612	주로 그람음성균에 작용하는 것	800	2,022
2018	5	613	주로 항산성균에 작용하는 것	1,163	276
2018	5	614	주로 그람양성균,리케치아,비루스에 작용하는 것	7,119	3,721
2018	5	615	주로 그람양성,음성균,리케치아,비루스에 작용하는 것	4,531	679
